Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
S_PA_10.1.1.1.1,Von Willibrand's Disease,,True,6,2023-07;2018-08;2016-02;2009-02;2006-02;1997-10,,@book?n=PA-rbpbdsa&ed=10&vol=1#668
E_PA_10.1.1.1.1,Thrombocytopaenia,"- Causes of thrombocytopaenia
- Classification
- Etiopathognenesis
- Enlist various tests for bleeding disorders",True,3,2014-02;2002-03;1998-04,,@book?n=PA-rbpbdsa&ed=10&vol=1#663
S_PA_10.1.1.1.2,Idiopathic Thrombocytopaenic Purpura,,True,6,2017-08;2011-02;2008-08;2008-02;2007-02;2002-03,,@book?n=PA-rbpbdsa&ed=10&vol=1#664
S_PA_10.1.1.1.3,Prothrombin Time,,True,2,2013-08;1998-04,,@book?n=PA-rbpbdsa&ed=10&vol=1#662
S_PA_10.1.1.1.4,Blood Transfusion,- Complications,True,2,2023-12;2005-02,,@book?n=PA-rbpbdsa&ed=10&vol=1#671
S_PA_10.1.1.1.5,Hemophilia,"- Hemophilia A
- Investigations necessary for diagnosis of Hemophilia",True,4,2017-02;2014-08;2011-08;2010-08,,@book?n=PA-rbpbdsa&ed=10&vol=1#668
S_PA_10.1.1.1.6,Anticoagulants,"- Various anti-coagulants utilized in clinical pathology lab for routine blood investigations
- Write about their mechanism
- Uses",True,3,2022-02;2019-08;2012-02,,
S_PA_10.1.1.1.7,Cross Matching,,True,3,2023-07;2012-02;2010-02,,
S_PA_10.1.1.1.8,Blood Bank,- Blood components prepared in the blood bank,True,1,2010-02,,
S_PA_10.1.1.1.9,Transfusion Reactions,"- Classify transfusion reactions
- Investigation
- Infection transmitted by blood transfusion",True,2,2022-08;2011-02,,@book?n=PA-rbpbdsa&ed=10&vol=1#671
S_PA_10.1.1.1.10,Chronic Immune Thrombocytopaenic Purpura,,True,2,2022-08;2012-02,,@book?n=PA-rbpbdsa&ed=10&vol=1#664
S_PA_10.1.1.1.11,Christmas disease (or) Hemophilia B (Factor IX Deficiency),,True,1,2012-08,,@book?n=PA-rbpbdsa&ed=10&vol=1#669
S_PA_10.1.1.1.12,Glanzmann's Thrombasthenia and Bernard-Soulier syndrome,,True,1,2021-09,,@book?n=PA-rbpbdsa&ed=10&vol=1#666
S_PA_10.1.1.1.13,Pancytopaenia,,True,1,2018-02,,
S_PA_10.1.1.1.14,Coagulation Disorders,,True,1,2020-02,,@book?n=PA-rbpbdsa&ed=10&vol=1#667
S_PA_10.1.1.1.15,Bombay Blood Group,,True,2,2020-11;2009-08,,
E_PA_10.1.1.1.2,Bleeding Disorders,"- Classify bleeding disorders
- Discuss the laboratory investigation of these disorders",True,1,1994-11,,@book?n=PA-rbpbdsa&ed=10&vol=1#662
